mbid,listeners,playcount
69681b02-05b8-4685-80cb-e98983b7a96f,1823839,96870164
79c6b6f4-cb92-4f03-a1ef-82e7aa4eddbb,198793,8464895
c6a951c5-534d-42d7-a06e-2a3a7be1d17e,0,0
9011971a-df29-4b57-8889-2e5e9a645cbe,1850339,62421929
37b2cb82-ef79-4d46-a184-a549450aa231,2178683,203861132
5a6131f9-f8db-4722-b4d7-6a0c7183c590,0,0
2d623e82-73e2-4179-9c44-e963980f2d58,663649,72291370
e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,3022336,194108657
1c294418-722f-45a3-a24d-910f9b6f1502,758250,9096519
e2c00c56-8365-4160-9f40-a64682917633,1840647,34813755
9484dbd2-849b-42e8-ab23-a3c1b9012e9c,12755,36106
f7ec7f63-91cb-4dc8-9d2e-01ed242fd088,2,5
fcfa9543-e113-4ef9-9ef6-455ba4cbe7af,1489276,24791508
5bb2ca9b-4862-4770-bc64-ceab41d13f5b,13569,76491
f57d8a69-ed3c-4d18-8bce-0083b162fae6,61905,225254
875749d5-a6c6-4ea7-94b9-21c90a2c1a63,0,0
0b1b3996-d4e5-4b04-986c-340d57ae8d3b,0,0
9964ddf9-f660-46f7-8f26-1f3fb18cf0ff,9451,156704
f526f656-ad83-46ce-be57-a5814c57e757,1803,11286
2093207d-cb69-4789-866b-5ac772c9ebd3,126954,1864518
7ef79f87-2ce7-4826-8890-8033cb77b077,4,140
1964d560-1e82-4879-bd6e-3cbfb7dba01e,202520,1269289
61a57a2a-4c7f-4b41-8109-1070a9c32242,1194408,38178344
dbc997aa-da05-4dd3-a36d-a07af8f862d7,38215,269866
fb7272ba-f130-4f0a-934d-6eeea4c18c9a,2201280,36288618
