rank,name,mbid,listeners,playcount
278,JID,d616b606-cf6a-4b6e-ab0f-e253b8db6610,1311042,96071902
279,Denzel Curry,5f95440d-7737-4a36-9bcf-c05337f7129b,1535533,145126788
280,Lola Young,43b896c5-5652-4b04-bde1-2e4224bc99b3,1047475,21098372
281,Reneé Rapp,e4378b7a-6138-441a-aa34-50e11a562066,920761,70975181
282,Ayesha Erotica,de5d7601-f6fa-4efa-ae3f-7005a2b89a1b,1047665,49716335
283,Matt Maltese,b27d089c-6b08-4067-9293-406cebde0374,1628627,61679532
284,AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,4373336,204530755
285,Current Joys,680a0350-cee3-49d4-a85d-7c9f4657fb97,1622540,60134833
286,Eyedress,0b619a94-481c-40ac-abae-85f33f2b1588,2072540,69206533
287,¥$,58daf317-be5f-439f-a04d-0d6727f1a3b2,1374202,72369195
288,KAYTRANADA,e56aee57-d90e-40cf-a70d-beb70f6f3c69,1460972,69106684
289,Kehlani,3260ce89-5eb0-4c6a-89c7-379c0dfc2ab9,1520393,60740339
290,A Boogie wit da Hoodie,c1708d03-8a66-46eb-848e-fe0d233ffb39,1343843,92272184
291,Tove Lo,56756959-1e78-429c-b897-e1d056cb0225,2289100,117221767
292,Bon Iver,437a0e49-c6ae-42f6-a6c1-84f25ed366bc,3456204,230404086
293,The Sundays,9df32318-47d5-4df7-bc68-3ed9e15eb0f6,1184680,40989541
294,Fred again..,bca46a0c-25c9-42ca-98c2-e64c8a5e337e,1111739,55611449
295,Diplo,a56bd8f9-8ef8-4d63-89a4-794ed1360dd2,1960102,33154853
296,Rauw Alejandro,197b70c7-8910-4030-ad03-632d82aa40e3,922234,77143346
297,ROLE MODEL,4c76d2ab-cc32-47b9-8bfe-d382bed617f6,920364,41978581
298,Rex Orange County,883cbf1f-dcaa-4d17-b9ed-394e1fdabc87,1945524,118044248
299,Marshmello,301b45a4-b8b9-410e-8344-4b4eaf96691a,2415986,63868369
300,Massive Attack,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,3688957,179603618
301,VACATIONS,23aa72e4-5865-4f69-a8af-8064229b401a,1750616,62292514
302,ROSALÍA,25f3abd9-63b5-471a-bd25-feb9672dfa11,1561742,145241617
303,Soundgarden,153c9281-268f-4cf3-8938-f5a4593e5df4,3162180,97055867
304,j-hope,b3977da4-f899-4328-921b-ecc599a5618a,935276,650003430
305,Franz Ferdinand,aa7a2827-f74b-473c-bd79-03d065835cf7,4719338,175005257
306,Snow Strippers,33243fef-ce1a-4ba7-a81e-ec72e4c5029a,677874,41108532
307,The Living Tombstone,3f6ee55e-d523-4dd8-a027-7a6af9909ae1,1161950,43466326
308,wifiskeleton,d29d94f3-97d5-4753-a8b6-038dcf3af59c,568992,44189851
309,Avenged Sevenfold,24e1b53c-3085-4581-8472-0b0088d2508c,2760284,211522490
310,FKA twigs,1e4e9db7-5068-4a9c-bdd0-5777e47172c8,1552754,127798665
311,Disclosure,962419b3-51c6-464d-acd5-b43f88429d85,2331879,70633755
312,Thundercat,044fd265-79dd-43eb-afc4-8b20becf7e17,1912997,71189426
313,fakemink,968847c6-2150-419d-b14b-68c672dcde99,273664,31521902
