"mbid","clustering_local","triangles","open_wedges","gwesp_contrib","degree","eigencentrality","pagerank","kcore","betweenness","closeness","same_genre_share"
"2d170347-69aa-4245-9950-c3a2992abad6",1,10,0,0,5,9.30259107680281e-05,0.000255172005518972,5,0,0.173620625233528,0.8
"bd01c9d7-89dd-4cb4-9baa-a43bfa292bed",0.4,6,9,0,6,0.00238183951949275,0.00040791924403582,3,0.0044196408389765,0.212047459689687,1
"88be6065-91c5-409f-aea2-8c39a333d59c",1,1,0,0,2,4.63520419784762e-17,0.000387611922942527,2,0,1,1
"b9bb7959-bdcf-45c2-a73a-0ac2e4333c2f",1,3,0,0,3,1.26297945192703e-07,0.000296864135607489,3,0,0.136894824707846,1
"06ef7219-6c9b-42e0-a81e-9ce6ab164d13",1,28,0,0,8,0.000563791970976177,0.000389371074496661,8,0,0.189453655884751,0.875
"2ddd167f-5b8a-4372-b350-6ad50493bac0",0,0,0,0,0,5.25564033535461e-19,5.81417884416849e-05,0,0,0,0
"5a42040d-2ae5-4e2a-a362-22e7b19d993c",1,55,0,0,11,0.0061434857828571,0.000401469820732155,11,0,0.210765043846386,0.818181818181818
"c9cd225b-4883-428e-82c2-73e0b6282fb6",0.283068783068783,107,271,0,28,0.0602276321210032,0.00115634882846659,14,0.00798312599709086,0.240801520124374,0.892857142857143
"8546949d-f46c-45ab-8391-85b26dda6b65",1,1,0,0,2,4.73646667153825e-17,0.000387611922942527,2,0,1,1
"7cf92ae7-264e-45a6-aa22-d6f3118eb0e4",1,3,0,0,3,0,0.000330420847993272,3,0,0.3,0
"764b0653-1855-40a2-85dd-98dabecb5efb",1,21,0,0,7,0,0.00037344599351682,7,0,0.335570469798658,1
"410bbb19-8309-4a0b-9f87-3d65bde4a826",1,6,0,0,4,0.000769177015840378,0.00027537029194027,4,0,0.20031613737606,0.75
"70f5bb6e-9b87-4500-9c9f-2e1d373d07da",0.690909090909091,38,17,0,11,0.0230782676478386,0.000403391532506432,9,0.000813210141209993,0.24973127911143,0.636363636363636
"010a8a3d-f197-4ec8-b67e-d7cb0326c50f",1,28,0,0,8,2.19201116020486e-05,0.00044668133613255,8,0,0.142375651108161,1
"23a79d0c-0034-4348-8844-705b7cda6d13",1,3,0,0,3,3.9702915537413e-17,0.000387611922942939,3,0,1,1
"2b1e7c27-2663-43df-9c23-8601e173e6ef",0,0,0,0,1,3.76293689768344e-17,0.000387611922942887,1,0,1,1
"d352f5dd-3023-4565-a7bb-52396bf8821d",1,3,0,0,3,4.07488751094376e-17,0.000387611922942939,3,0,1,1
"2fddb92d-24b2-46a5-bf28-3aed46f4684c",1,10,0,0,5,2.9162893979305e-08,0.00030187766607103,5,0,0.113935431140172,0.4
"f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387",0.8,12,3,0,6,0.0010890243296165,0.0003486517016245,5,9.20045220068787e-05,0.203950256035113,0
"48e5f8d2-93c9-486d-9268-d5ebd2253ac0",0,0,0,0,1,3.91472576708786e-17,0.000387611922942887,1,0,1,1
"ba45b249-1b65-491a-b194-5d57f47c8e84",1,36,0,0,9,3.36765633482557e-05,0.000391323072529981,9,0,0.158409090909091,0.666666666666667
